path,target,category,extension,reason
Research/VPhoneVirtualMachineRefactored.swift,research,APPLE_ONLY,swift,Research spike imports Apple Virtualization/private APIs; reference only
VPhoneDaemon/Daemon/APIWire.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/GuestAPI.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/GuestEventPublisher.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/GuestFileTransfer.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/GuestHyperTextHandler.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/GuestIrisinInstaller.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/GuestKeychain.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/GuestPortForwardHandler.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/GuestSigner.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/GuestWebSocketHandler.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Daemon/main.swift,VPhoneDaemon,APPLE_ONLY,swift,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Native/vphoned_native.m,VPhoneDaemon,APPLE_ONLY,m,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Native/vphoned_sign.m,VPhoneDaemon,APPLE_ONLY,m,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneDaemon/Native/vphoned_vcam.m,VPhoneDaemon,APPLE_ONLY,m,"Guest daemon is built for Apple guest/iOS runtime, not Windows host"
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/ARM64/ARM64Constants.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/ARM64/ARM64Disassembler.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/ARM64/ARM64Encoder.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/ARM64/ARM64Inst.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/AVPBooter/AVPBooterPatcher.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/Binary/BinaryBuffer.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/Binary/IM4PHandler.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/Binary/InPlaceRewrite.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/Binary/MachOParser.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CryptexFilesystem/CryptexFilesystemPatcher.swift,FirmwarePatcher,REWRITE,swift,Firmware logic invokes Apple APFS/cryptex host tooling and needs a replacement backend
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CryptexFilesystem/CryptexFilesystemPatcherAEA.swift,FirmwarePatcher,REWRITE,swift,Firmware logic invokes Apple APFS/cryptex host tooling and needs a replacement backend
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CryptexFilesystem/CryptexFilesystemPatcherDiskImage.swift,FirmwarePatcher,REWRITE,swift,Firmware logic invokes Apple APFS/cryptex host tooling and needs a replacement backend
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CryptexFilesystem/CryptexFilesystemPatcherFileOps.swift,FirmwarePatcher,REWRITE,swift,Firmware logic invokes Apple APFS/cryptex host tooling and needs a replacement backend
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CryptexFilesystem/CryptexFilesystemPatcherGuestPayload.swift,FirmwarePatcher,REWRITE,swift,Firmware logic invokes Apple APFS/cryptex host tooling and needs a replacement backend
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CryptexFilesystem/CryptexFilesystemPatcherManifest.swift,FirmwarePatcher,REWRITE,swift,Firmware logic invokes Apple APFS/cryptex host tooling and needs a replacement backend
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CryptexFilesystem/CryptexFilesystemPatcherProcess.swift,FirmwarePatcher,REWRITE,swift,Firmware logic invokes Apple APFS/cryptex host tooling and needs a replacement backend
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CryptexFilesystem/CryptexFilesystemPatcherSealing.swift,FirmwarePatcher,REWRITE,swift,Firmware logic invokes Apple APFS/cryptex host tooling and needs a replacement backend
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/CustomFirmwareBuildVersion.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/CustomFirmwareDaemons.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/CustomFirmwareDaemonsDropbear.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/CustomFirmwareDaemonsLaunchd.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/CustomFirmwareInjectDylib.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/CustomFirmwareMachLookupExceptions.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/CustomFirmwareMachOCodeSignature.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/CustomFirmwarePostRestoreDeviceTree.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/ExecutablePatches/CacheLoader/CustomFirmwareCacheLoader+Results.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
VPhoneExecutable/VPhoneCommand/FirmwarePatcher/CustomFirmware/ExecutablePatches/CacheLoader/CustomFirmwareCacheLoader+StringAnchor.swift,FirmwarePatcher,SHIMMABLE,swift,Core patching logic is algorithmic Swift but requires Windows build/dependency adaptation
